paper_label,paper_estimate_id,url,journal,publication_year,field,context,empirical_strategy,outcome,outcome_type,outcome_subgroup,control_outcome,independent_variable,temporal_scale,sample_size,increase_independent_variable,independent_variable_dummy,is_standardized,log_outcome,mean_outcome,sd_outcome,mean_independant_variable,sd_independent_variable,estimate,standard_error,first_stage_statistic,source_summary_stats,source_results,remarks,open_data
aguilar-gomez et al. (2020),1,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - respiratory,morbidity,all,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,0.0131,0.00674,NA,NA,table 3 - column 1,NA,0
aguilar-gomez et al. (2020),2,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - respiratory ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,0.00529,0.0066,NA,NA,table 3 - column 2,NA,0
aguilar-gomez et al. (2020),3,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - asthma,morbidity,all,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.00726,0.0066,NA,NA,table 3 - column 3,NA,0
aguilar-gomez et al. (2020),4,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - asthma ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.0161,0.00647,NA,NA,table 3 - column 4,NA,0
aguilar-gomez et al. (2020),5,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - cvd,morbidity,all,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.00415,0.00666,NA,NA,table 3 - column 5,NA,0
aguilar-gomez et al. (2020),6,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - cvd ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - pre-reform,daily,964033,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.00677,0.00657,NA,NA,table 3 - column 6,NA,0
aguilar-gomez et al. (2020),7,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - respiratory,morbidity,all,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.0241,0.0067,NA,NA,table 4 - column 1,NA,0
aguilar-gomez et al. (2020),8,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - respiratory ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.0238,0.0066,NA,NA,table 4 - column 2,NA,0
aguilar-gomez et al. (2020),9,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - asthma,morbidity,all,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.0544,0.0102,NA,NA,table 4 - column 3,NA,0
aguilar-gomez et al. (2020),10,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - asthma ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.033,0.00895,NA,NA,table 4 - column 4,NA,0
aguilar-gomez et al. (2020),11,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - cvd,morbidity,all,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,0.00173,0.01,NA,NA,table 4 - column 5,NA,0
aguilar-gomez et al. (2020),12,https://sandraaguilargomez.files.wordpress.com/2020/11/aguilargomez_jmp_final-7.pdf,working paper,2020,economics,"mexico city, mexico",event-study combined with instrument variable,er vistits - cvd ages < 5 and  >65,morbidity,children and old,0,dummy for day t of air quality alert - post-reform,daily,268487,dummy for day t of air quality alert,1,1,0,NA,NA,NA,NA,-0.00889,0.0101,NA,NA,table 4 - column 6,NA,0
anderson et al. (2022),13,https://www.nber.org/papers/w29637,working paper,2022,economics,south korea,reduced-form,respiratory disease expenditures - age 0-19,morbidity,children and young,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,50.1,24.9,NA,NA,-9.412,2.326,NA,table 1,table 4 - column 1,NA,0
anderson et al. (2022),14,https://www.nber.org/papers/w29638,working paper,2022,economics,south korea,reduced-form,respiratory disease expenditures - age 20-64,morbidity,age 20-64,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,23.3,14.8,NA,NA,-2.346,1.391,NA,table 1,table 4 - column 2,NA,0
anderson et al. (2022),15,https://www.nber.org/papers/w29639,working paper,2022,economics,south korea,reduced-form,respiratory disease expenditures - age 65+,morbidity,old,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,15.2,8.3,NA,NA,-2.661,1.674,NA,table 1,table 4 - column 3,NA,0
anderson et al. (2022),16,https://www.nber.org/papers/w29640,working paper,2022,economics,south korea,reduced-form,respiratory disease expenditures - age all,morbidity,all,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,NA,NA,NA,NA,-3.624,1.437,NA,table 1,table 4 - column 4,NA,0
anderson et al. (2022),17,https://www.nber.org/papers/w29641,working paper,2022,economics,south korea,instrumental variable,respiratory disease expenditures - age 0-19,morbidity,children and young,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,50.1,24.9,NA,NA,-15.03,4.709,NA,table 1,table 4 - column 1,NA,0
anderson et al. (2022),18,https://www.nber.org/papers/w29642,working paper,2022,economics,south korea,instrumental variable,respiratory disease expenditures - age 20-64,morbidity,age 20-64,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,23.3,14.8,NA,NA,-3.777,2.195,NA,table 1,table 4 - column 2,NA,0
anderson et al. (2022),19,https://www.nber.org/papers/w29643,working paper,2022,economics,south korea,instrumental variable,respiratory disease expenditures - age 65+,morbidity,old,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,15.2,8.3,NA,NA,-4.303,2.753,NA,table 1,table 4 - column 3,NA,0
anderson et al. (2022),20,https://www.nber.org/papers/w29644,working paper,2022,economics,south korea,instrumental variable,respiratory disease expenditures - age all,morbidity,all,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,NA,NA,NA,NA,-5.829,2.397,NA,table 1,table 4 - column 4,NA,0
anderson et al. (2022),21,https://www.nber.org/papers/w29645,working paper,2022,economics,south korea,reduced-form,cardiovascular disease expenditures - age 0-19,morbidity,children and young,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,0.1,3.1,NA,NA,-0.025,0.021,NA,table 1,table 5 - column 1,NA,0
