formula,quasi_exp,n_days,n_cities,p_obs_treat,percent_effect_size,id_method,power,type_m,type_s,mse,average_n_obs,mean_estimate,normalized_bias,estimate_true_ratio,mean_f_stat
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,100,68,0.5,0.5,IV_0.1,2,26.03265551973537,1,1.970769171094159,6868,0.09887569404101956,1.291385966234691,9.195081502641855,37.36398072967215
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,100,68,0.5,0.5,IV_0.5,8.799999999999999,5.270906509796093,0.6,0.07040903565799185,6868,0.12708870430666355,0.8729921568079156,1.9909094033970294,1000.1389996657143
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,500,68,0.5,0.5,IV_0.1,4.8,12.204358656408601,1.4000000000000001,0.37197864882986775,34068,0.10881878824826538,0.9356311879986365,4.201208171230609,119.43145596476803
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,500,68,0.5,0.5,IV_0.5,18.4,2.5815541408492253,0.6,0.016038739040469076,34068,0.11980637888603034,0.8801936211139697,1.2116188718851886,3050.6394456316953
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,1000,68,0.5,0.5,IV_0.1,5.6000000000000005,8.745560785947683,1.2,0.18993074840666396,68068,0.10464148619568299,0.9026614422215273,3.0671455743250267,237.10621098225474
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,1000,68,0.5,0.5,IV_0.5,30.2,1.9302032229159012,0.4,0.008955523375929194,68068,0.11854498880079202,0.881455011199208,1.0990132619614466,5884.427239076418
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,20,0.5,0.5,IV_0.1,4.2,12.27905324433096,0.4,0.3089187107284457,40020,0.13495316337882135,0.9069996697261387,3.9255864745260274,135.27875299858914
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,20,0.5,0.5,IV_0.5,17.4,2.3356923967041054,0.4,0.01407661415124937,40020,0.1077478122651814,0.8922521877348186,1.1293364162344572,3333.942243766941
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.2,0.5,IV_0.1,5.2,8.069465533440704,0.8,0.1363303191573403,136068,0.12779216848192196,0.8745714362727472,2.652407143644968,288.5215345399766
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.2,0.5,IV_0.5,33.2,1.757392421967358,0,0.0059163608630127575,136068,0.11885129921033667,0.8811487007896633,1.050351073230869,7097.193838742115
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,0.1,IV_0.1,6.2,31.08781037738947,2.4,0.1023543748044206,136068,0.027653251911083938,0.9723467480889161,11.006017799029532,444.2633593996271
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,0.1,IV_0.5,5.800000000000001,6.058680309915487,1,0.003578692176826057,136068,0.02409510329777579,0.9759048967022242,2.222667539911097,11094.55763412575
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,0.5,IV_0.1,8,6.366076049646337,1,0.10273443308191163,136068,0.12803200388213767,0.8719816149558348,2.389056288858221,450.6820548702366
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,0.5,IV_0.5,48.8,1.4233079164142333,0,0.003721520989049069,136068,0.11607226549143743,0.8839277345085625,1.0026000990909032,11167.129915326503
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,1,IV_0.1,10.6,3.206098681415805,0.2,0.08831650445087501,136068,0.2272579026193362,0.7733690241021934,1.2953877372212552,448.4052974361851
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,2000,68,0.5,1,IV_0.5,96,1.0274174547640036,0,0.003971470020098705,136068,0.23409036429061603,0.765909635709384,1.0027446961927569,11167.326221850473
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,3000,68,0.5,0.5,IV_0.1,6.6000000000000005,5.405690701201728,0.4,0.0667009073846727,204068,0.13466713516380954,0.8654652863134769,2.0015827941456292,638.9623194831784
death_total ~  temperature + temperature_squared | city + month^year + weekday | co ~ treated,random_days,3000,68,0.5,0.5,IV_0.5,61.199999999999996,1.2686092102626512,0,0.002647569318374066,204068,0.11741803673623714,0.8825819632637628,1.0085304067094178,16052.354017673077
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,100,68,0.5,0.5,OLS,34.4,1.627169312150516,0,0.008422592810086223,6868,0.11553656263609823,0.8844634373639018,1.0891340148134279,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,500,68,0.5,0.5,OLS,88.4,1.062424599687032,0,0.0014493605026027294,34068,0.1164146455066303,0.8835853544933697,0.9964634295915883,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,1000,68,0.5,0.5,OLS,98.8,1.0002343957882633,0,0.00067557046971208185,68068,0.11603567843160155,0.8839643215683984,0.9928397273051329,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,2000,20,0.5,0.5,OLS,92.4,1.0523025348911188,0,0.0012783894056830835,40020,0.11937587276619857,0.8806241272338015,1.0050949941480491,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,2000,68,0.2,0.5,OLS,100,0.9916626244030423,0,3.262366076212849e-4,136068,0.11572672710427134,0.8842732728957287,0.9916626244030423,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,2000,68,0.5,0.1,OLS,24.6,1.992453183359168,0,3.501647894114825e-4,136068,0.022795701396574778,0.9772042986034252,1.0656434062813867,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,2000,68,0.5,0.5,OLS,100,0.993429640306199,0,3.1328127307846137e-4,136068,0.11597286291413529,0.8840271370858647,0.993429640306199,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,2000,68,0.5,1,OLS,100,1.0045879957404327,0,3.1300596107643105e-4,136068,0.2346227204992956,0.7653772795007044,1.0045879957404327,NA
death_total ~ co + temperature + temperature_squared | city + month^year + weekday,none,3000,68,0.5,0.5,OLS,100,0.997546040000856,0,1.9855661408529524e-4,204068,0.11656478912465718,0.8834352108753428,0.997546040000856,NA
death_total ~ treated + post + city_treated + temperature + temperature_squared |  month^year + weekday,local,100,68,0.25,0.5,DID,0,NA,0,0.5219663730108393,6868,-0.12289591058949215,1.1679362113980856,5.101389658612335,NA
death_total ~ treated + post + city_treated + temperature + temperature_squared |  month^year + weekday,local,500,68,0.25,0.5,DID,1,13.307995850288632,0,0.20647552559909982,34068,-0.14024729033380054,1.141029057066337,3.443011614895048,NA
death_total ~ treated + post + city_treated + temperature + temperature_squared |  month^year + weekday,local,1000,68,0.25,0.5,DID,1.6,9.969010883501662,0.8,0.11637555521427669,68068,-0.09800432021426693,1.098390904905887,2.46674182640247,NA
death_total ~ treated + post + city_treated + temperature + temperature_squared |  month^year + weekday,local,2000,20,0.25,0.5,DID,10.4,9.243112090701878,3,0.3912606158583618,40020,-0.13611247479204286,1.1641103917546218,4.105959707331037,NA
